movie_title,username,rating,review_text
Avatar 3: Lửa Và Tro Tàn,QAnh1234,1,"Phim tệ, cốt truyện theo lối mòn, tác giả và đạo diễn phim bị tham lam cái gì cx muốn bỏ vô cho bằng đc, xong lại không khai thác tốt để cho phim bị đẩy đi, giải thích lý do, và mô tả tâm lý nv quá nhanh chưa kịp lấy cảm xúc phim đã chạy đi chiến đấu r. Đến mức phim bị dài, đành đẩy nhanh p phim🙄 lý do trơ trẻn, đc cái background phim mới lạ nên khán giả có hưng thú xem nhưng những quá trình của chiến tranh còn ko thèm khai thác cơ, chỉ bt cổ vũ tinh thần, mà chưa lên cảm xúc thì qua diễn biến khác của phim. Hở tý là này là kia phim chỉ đang lấy cốt truyện kiểu mỳ ăn liền của phương tây r gán ghép qua thui. Chứ chả có gì mới lạ cả. Cả quá trình xem phim cứ thấy ngang ngang lên cao trào ko nổi lun á. Kịch tính chỗ nào vậy mn. Hay do tôi xem kiểu phim như này quá nên cảm thấy mỳ ăn liền chả gay cấn chỗ nào. Tính ra mình còn dự đoán đc diễn biến tiếp theo của phim sẽ làm gì, mất hứng thú thật sự. Ý kiến cá nhân thôi nha. Cá nhân mình thấy vậy, nếu các bạn thấy hay thì mong đợi phần tiếp theo ik. Mình thì ko vì có thể dự đoán phần tới sẽ có gì nếu như ko thay đổi kiểu cốt truyện như hiện tại cả 3p chưa phần để lại ấn tượng tốt cả."
Avatar 3: Lửa Và Tro Tàn,NamPrevia,5,"ko như kỳ vọng, các tình huống có thể thấy rỏ ràng:
- đại tá Miles Quaritch ko thuyết phục, ko logic, lúc thì phê thuốc khi lại trở thành thủ lĩnh mới của Tộc Tro, nhất là kết phim lại tự sát... 
- khi Kiri kêu gọi được thần chiến binh trợ giúp bằng các con ""mực ma"" chứ không phải là sóng thần hay nhiều loại thủy quái...
- vẫn là cảnh chiến đấu giữa cung tên thô sơ với khí tài hiện đại mà khán giả đã biết ở 2 tập trước.
tóm lại ko nên ra tiếp phần sau."
Avatar 3: Lửa Và Tro Tàn,Trương Trần Ngọc Liên,10,"Kỉ xảo điện ảnh xuất sắc, phim hay!"
Avatar 3: Lửa Và Tro Tàn,Lê Quốc Trí,10,đồ hoạ quá đẹp
Avatar 3: Lửa Và Tro Tàn,0394976495,10,tôi đã phải nhịn đi vệ sinh để xem hết phim này .quá quấn hút ..
Avatar 3: Lửa Và Tro Tàn,Lê ngọc thuỵ vy,10,Hay tuyệt. Sẽ xem lần 2
Avatar 3: Lửa Và Tro Tàn,Lan Anh,10,xịn quá nà
Avatar 3: Lửa Và Tro Tàn,Joseph Guse,8,Absolutely awful service. The moive was absolutely horrific at 4 hours as well.
Avatar 3: Lửa Và Tro Tàn,Nguyễn Thị Hân,10,Mình sẽ đi xem lại lần 2.....
Avatar 3: Lửa Và Tro Tàn,DAO THANH TUNG,9,Phim không hay gì cả =))
Avatar 3: Lửa Và Tro Tàn,liamchau,9,"Âm thanh tốt a, không khí mát. Nhân viên rất chu đáo."
Nhà Hai Chủ,nguoidungfb,1,"Đã Xem - Đánh giá 1* .. Phim khá xàm , so sánh với phim youtube có khi còn dở hơn phim Youtube 🥴"
Nhà Hai Chủ,nhinhiphanhi,1,"Bỏ ra hơn 150k tiền vé bắp nước đổi lại chẳng được gì
Khúc đầu thì coi cũng được được.... khúc sau không hiểu phim nói về vấn đề gì luôn và cái ý nghĩa nói ra sao??...... nó xàm dỡ tệ thì thôi luôn"
Nhà Hai Chủ,Lê Quân,1,phim ko hay
Nhà Hai Chủ,thiendat123,5,phim xàm dở thà coi phim ở nhà ngon hơn
Zootopia: Phi Vụ Động Trời 2,Khúc Thị Ngọc Hà,10,"phim siu hay ạ, mê nhất love u partner;)))"
Zootopia: Phi Vụ Động Trời 2,Lê Nguyễn Thanh Nhung,10,"Dễ thương, hay, gay cấn"
Zootopia: Phi Vụ Động Trời 2,Đào Thị Huyền Trang,10,Phim hay lắmm
Zootopia: Phi Vụ Động Trời 2,ericxu,9,"Cũng oke á, mà kết này thấy cũng tròn r hehe"
Zootopia: Phi Vụ Động Trời 2,Hoàng công lập,8,"Hay , kết mở"
Zootopia: Phi Vụ Động Trời 2,Hoàng Ngọc Lương,10,Hay lắm luôn á tr
Zootopia: Phi Vụ Động Trời 2,Đào Anh Dũng,9,Vân bảo hay
Zootopia: Phi Vụ Động Trời 2,Ngô Phước Ninh,10,"Bộ phim rất hay và ý nghĩa, còn lại các phục vụ của Rạp Cinemar Đông Hà thì thiếu chuyên nghiệp."
Zootopia: Phi Vụ Động Trời 2,ThuAn139,10,Phim hay ý nghĩ và vui. Đúng đặc điểm với các loài động vật
Zootopia: Phi Vụ Động Trời 2,Nguyễn Hương Trà,10,ok hayyyy lắm djiazjsj
Zootopia: Phi Vụ Động Trời 2,BroABC91,10,"Trời ơi, phim siêu hay, hài hước, anh cáo và cô cộng sự đáng yêu vô cùng"
Zootopia: Phi Vụ Động Trời 2,Vũ Thị Thanh Nga,10,Hài. Hay. Vui
Zootopia: Phi Vụ Động Trời 2,Nguyễn Huy Hoàng Phúc,10,Phim khá hay!
Zootopia: Phi Vụ Động Trời 2,Pham Thi Hong Lien,8,"Bộ phim hài hước, xen lẫn những pha rượt bắt hồi hộp, gay cấn, nội dung đề cao chính nghĩa, cái đúng. Tổng quan xem được."
Zootopia: Phi Vụ Động Trời 2,Mai Quốc Khánh,9,"phim hay , nma bạn bên cạnh kh cho thơm má"
Zootopia: Phi Vụ Động Trời 2,Lê Khánh Ngọc,10,"Phim rất hay. Nhiều yếu tố hài hước hơn phần 1, chemistry giữa 2 nhân vật chính cũng nhiều hơn"
Zootopia: Phi Vụ Động Trời 2,Nguyễn Như Quỳnh,9,Phim có nhiều joke động vật khá thú vị
Zootopia: Phi Vụ Động Trời 2,Lê Phương Tường Vi,10,"Hay,rất đáng xem"
Zootopia: Phi Vụ Động Trời 2,tthuhhuym,10,"phim siêu hayy, tiếng nghe đã tai lắm thỉnh thoảng hơi to hơi giật mình tị thoi, giá rẻ mà chất lượng vượt xa, nick và judy mãi keooooo 🫶🫶🫶🫶🫶 vô cùng rcm"
Zootopia: Phi Vụ Động Trời 2,PHẠM THỊ LINH,9,"Phim cực hài, cực đáng yêu luônnnn😆🥰"
Zootopia: Phi Vụ Động Trời 2,Nguyễn Ngọc Bảo Uyên,10,"10 điểm nha, hay, hài,hấp dẫn yêu Judy và Nick"
Zootopia: Phi Vụ Động Trời 2,Nguyễn Hoàng Trọng Sơn,10,Cặp cộng sự thỏ & chó lông cam siu peak luôn
Kumanthong Nhật Bản: Vong Nhi Cúp Bế,Lynhem672,8,"Cái kết chưa rõ không biết phải còn phần 2 không 
Theo mình thì chỉ xoay quanh 1 con búp bê làm từ xương của 1 đứa bé nặn nên và ám theo gdd ddos , cần tình thương , nhưng đoạn kết lại là đứa bé đó rất hận mẹ nó nên có thể là phần 2 gây gấn hơn nếu có , cũng nên xem nha , hy vọng có phần 2"
Kumanthong Nhật Bản: Vong Nhi Cúp Bế,Cao Như Thanh Vân,10,phim hay tâm lý
Em Sẽ Khử Anh,ericxu,9,"I mean duh... phim flop 

Nhưng thật sự phim mang lại 1 trải nghiệm hết sức độc đáo khi lôi khán giả cuốn vào 1 cuộc tình ""hóa điên"" của đôi vợ chồng khi vợ bị trầm cảm sau sinh, dù nhịp chậm và có thể khó hiểu nhưng bộ phim thật sự giống như 1 bộ xếp hình, để khán giả phải xếp từ đầu đến cuối mới hiểu hết được bộ phim hihi. Nói chung là đáng xem á, siêu đỉnh ạ."
Avatar 3: Lửa Và Tro Tàn,Le Van,10,"Kĩ xảo tuyệt đẹp, diễn xuất tuyệt vời"
Avatar 3: Lửa Và Tro Tàn,Nguyễn Thành Đạt,10,Hay nha mặc dù mình chưa xem phần 1 với 2
Avatar 3: Lửa Và Tro Tàn,nhinhiphanhi,10,Phim hay lắm nha
Avatar 3: Lửa Và Tro Tàn,Nguyễn Bá Thịnh,10,"Phim hay, đáng xem và chờ đợi thêm phần 4"
Avatar 3: Lửa Và Tro Tàn,Nguyễn Hữu Vinh,10,Tuyệt vời với màn ảnh rộng
Avatar 3: Lửa Và Tro Tàn,Hà văn học,10,Phim quá hay
Avatar 3: Lửa Và Tro Tàn,QAnh1234,1,"Phim tệ, cốt truyện theo lối mòn, tác giả và đạo diễn phim bị tham lam cái gì cx muốn bỏ vô cho bằng đc, xong lại không khai thác tốt để cho phim bị đẩy đi, giải thích lý do, và mô tả tâm lý nv quá nhanh chưa kịp lấy cảm xúc phim đã chạy đi chiến đấu r. Đến mức phim bị dài, đành đẩy nhanh p phim🙄 lý do trơ trẻn, đc cái background phim mới lạ nên khán giả có hưng thú xem nhưng những quá trình của chiến tranh còn ko thèm khai thác cơ, chỉ bt cổ vũ tinh thần, mà chưa lên cảm xúc thì qua diễn biến khác của phim. Hở tý là này là kia phim chỉ đang lấy cốt truyện kiểu mỳ ăn liền của phương tây r gán ghép qua thui. Chứ chả có gì mới lạ cả. Cả quá trình xem phim cứ thấy ngang ngang lên cao trào ko nổi lun á. Kịch tính chỗ nào vậy mn. Hay do tôi xem kiểu phim như này quá nên cảm thấy mỳ ăn liền chả gay cấn chỗ nào. Tính ra mình còn dự đoán đc diễn biến tiếp theo của phim sẽ làm gì, mất hứng thú thật sự. Ý kiến cá nhân thôi nha. Cá nhân mình thấy vậy, nếu các bạn thấy hay thì mong đợi phần tiếp theo ik. Mình thì ko vì có thể dự đoán phần tới sẽ có gì nếu như ko thay đổi kiểu cốt truyện như hiện tại cả 3p chưa phần để lại ấn tượng tốt cả."
Avatar 3: Lửa Và Tro Tàn,NamPrevia,5,"ko như kỳ vọng, các tình huống có thể thấy rỏ ràng:
- đại tá Miles Quaritch ko thuyết phục, ko logic, lúc thì phê thuốc khi lại trở thành thủ lĩnh mới của Tộc Tro, nhất là kết phim lại tự sát... 
- khi Kiri kêu gọi được thần chiến binh trợ giúp bằng các con ""mực ma"" chứ không phải là sóng thần hay nhiều loại thủy quái...
- vẫn là cảnh chiến đấu giữa cung tên thô sơ với khí tài hiện đại mà khán giả đã biết ở 2 tập trước.
tóm lại ko nên ra tiếp phần sau."
Avatar 3: Lửa Và Tro Tàn,Trương Trần Ngọc Liên,10,"Kỉ xảo điện ảnh xuất sắc, phim hay!"
Avatar 3: Lửa Và Tro Tàn,Lê Quốc Trí,10,đồ hoạ quá đẹp
Avatar 3: Lửa Và Tro Tàn,0394976495,10,tôi đã phải nhịn đi vệ sinh để xem hết phim này .quá quấn hút ..
Avatar 3: Lửa Và Tro Tàn,Lê ngọc thuỵ vy,10,Hay tuyệt. Sẽ xem lần 2
Avatar 3: Lửa Và Tro Tàn,Lan Anh,10,xịn quá nà
Avatar 3: Lửa Và Tro Tàn,Joseph Guse,8,Absolutely awful service. The moive was absolutely horrific at 4 hours as well.
Avatar 3: Lửa Và Tro Tàn,Nguyễn Thị Hân,10,Mình sẽ đi xem lại lần 2.....
Avatar 3: Lửa Và Tro Tàn,DAO THANH TUNG,9,Phim không hay gì cả =))
Avatar 3: Lửa Và Tro Tàn,liamchau,9,"Âm thanh tốt a, không khí mát. Nhân viên rất chu đáo."
Nhà Hai Chủ,nguoidungfb,1,"Đã Xem - Đánh giá 1* .. Phim khá xàm , so sánh với phim youtube có khi còn dở hơn phim Youtube 🥴"
Nhà Hai Chủ,nhinhiphanhi,1,"Bỏ ra hơn 150k tiền vé bắp nước đổi lại chẳng được gì
Khúc đầu thì coi cũng được được.... khúc sau không hiểu phim nói về vấn đề gì luôn và cái ý nghĩa nói ra sao??...... nó xàm dỡ tệ thì thôi luôn"
Nhà Hai Chủ,Lê Quân,1,phim ko hay
Nhà Hai Chủ,thiendat123,5,phim xàm dở thà coi phim ở nhà ngon hơn
Thai Chiêu Tài,Tanthanh123,4,Dở đến đau lòng
Thai Chiêu Tài,Thiên Bi,1,"Danh nghĩa của người vừa xem tối qua thì khuyên thật mọi người để tiền đi ăn còn xứng đáng hơn,phim rất lãng chiếu đi chiếu lại 1cảnh quay 2 3lần coi rất mất thời gian,phim rất vô duyên và rất nhìu cảnh nhạy cảm!"
Trái Tim Què Quặt,ericxu,7,"Bị bất ngờ vì đã đánh giá thấp phim qua poster, trong khi phim có nội dung logic và cuốn, dù không phải phim đại chúng nhưng đây cũng sẽ là 1 sự lựa chọn không tệ (chống chỉ định cho các cặp đôi đang cãi nhau)"
Quái Thú Vô Hình: Vùng Đất Chết Chóc,Leo86,7,"Nửa phim đầu xem dài lê thê hơi mệt nửa sau ổn hơn, xem được. Nhưng so với những phần từ thời xưa vừa hay vừa sợ vừa ấn tượng thì lần này không còn cảm giác như vậy. Đánh giá chung là tạm."
Núi Tế Vong,Nguyễn Thành Trung,9,"Hấp dẫn , lý kì , ám ảnh"
Sư Thầy Gặp Sư Lầy,NGUYỄN THỊ KIM LIÊN,7,"cũng được, ko vui như review, cốt truyện bình thường"
Truy Tìm Long Diên Hương,Lê Minh Hoàng,10,Tuyệt vời. 10 điểm cả về kịch bản lẫn hành động. Không có gì để chê.
Truy Tìm Long Diên Hương,Nguyễn Bảo Khang,9,Phim hay ạ
Truy Tìm Long Diên Hương,Anhv4,8,"Phim xem được, thuần giải trí, xem xong thấy thoải mái, xả stress"
Truy Tìm Long Diên Hương,Nguyễn Văn Phi,10,Phim hạnh động của Action C thì còn gì bằng
Truy Tìm Long Diên Hương,Nguyễn Thị Anh Đào,10,"Phim hay , vui , câu chuyện nhẹ nhàng dễ thương"
Truy Tìm Long Diên Hương,Võ Hoàng Thịnh,7,"Cảnh hành động thì cũng tạm ổn. Nhưng mà cốt truyện của phim quá mờ nhạt, diễn biến quá đơn giản dễ dàng đoán trước được, ko có gì bất ngờ, bộ phim theo kiểu ""hào quang nhân vật chính"" nhân vật Tâm đc buff quá mạnh tay. Nên đầu tư 1 cốt truyện hay hơn."
Truy Tìm Long Diên Hương,Lynhem672,10,"Hay nha. , cười bể bụng , nên xem nha"
Truy Tìm Long Diên Hương,Trần kim Phượng,9,"Hấp dẫn, Vui nhộn, căng thẳng"
Truy Tìm Long Diên Hương,Sanghanh,10,Nên coi nha mn hài lắm
Truy Tìm Long Diên Hương,Ngockhanh123,10,Hay lắm rất rất rất đáng xem
Truy Tìm Long Diên Hương,Trần Phạm Khánh Băng,10,"Phim hay lắm. Phim Hành động nhìn rất mượt, các cảnh võ thuật rất hay. Và cũng nhiều phiên đoạn hài lắm"
Truy Tìm Long Diên Hương,Lê Đăng Khoa,10,"Fantastic 
Wonderful
Significant
Magnificent 
Outstanding 
Clash of titan
This is world class !!!"
Truy Tìm Long Diên Hương,Phí Huyền Trang,10,phim coi zui
Truy Tìm Long Diên Hương,Đoàn Hoàng Văn,10,Phim rất hay
Truy Tìm Long Diên Hương,Cao Hạnh Duyên,10,"Phim ý nghĩa, hài hước cả rạp cười muốn xỉu :)))))"
Truy Tìm Long Diên Hương,Thành Phát,10,quá hay phim 10₫ lần đầu coi phim mà k bấm dt
Truy Tìm Long Diên Hương,linhxinhgai,10,"Mình thấy rất xứng đáng khi đi xem một bộ phim hành động lẫn hài mãn nhãn. Đối với cá nhân mình thì nội dung tạm ổn, chủ yếu mình đánh giá cao hành động chân thật, yếu tố hài đời thường ko nhảm. Mn nên mua vé vào rạp xem nhé, lần đầu tiên mình đánh giá phim ngay sau khi xem"
Truy Tìm Long Diên Hương,Hoàng Bá Dũng,8,"Hay , dễ xem"
Truy Tìm Long Diên Hương,Lyngoc,5,"⭐ Đánh giá phim Truy Tìm Long Diên Hương
* Về mặt hình ảnh
1. Đầu tư tốt về hình ảnh
Phim có nhiều khung hình được xử lý đẹp, màu sắc chỉnh chu, góc quay đa dạng cho thấy ê-kíp đã đầu tư khá nghiêm túc ở phần visual.
2. Tôn vinh đội ngũ diễn viên đóng thế
Các cảnh hành động được thực hiện tốt và giúp những cascadeur – vốn ít được khán giả biết đến – có nhiều đất để thể hiện hơn.
* Về mặt nội dung
1. Nhiều tình tiết thiếu hợp lý
Một số chi tiết không sát với thực tế, gây cảm giác “phi logic”, ví dụ:
Nhân vật bị lừa tới hai lần dù cùng kiểu tình huống.
Xe bị cháy nhưng thay vì xử lý bằng cách đổ cát vào nhà/xe thì thằng em nhà ở vào lửa.
Bản thân bị cháy nhưng ko ngã vào cát để lăn, dẫn đến cảm giác chưa hợp lý về cách hợp lí.
Dùng thanh chắn để làm xe ngã cũng không quá thuyết phục.
Thằng em vừa rất ngu vừa còn ko nhận ra lỗi mình, kêu anh mình thiên vị ng ngoài, bán đồ gì đâu vào tận huyệt của ng ta để mà trả giá. 
Có ai đi đánh nhau biết rõ bên kia có dao với gậy mà xách cái thân ko. Gặp giang hồ còn đứng đó nói đạo lý.
Không ai lén mở cốp để lấy trộm lòng diên hương ở trong xe. Tất cả lại lao vào đánh nhau, xong còn thêm mấy cảnh slow-motion kéo dài nhìn rất “trưng trổ” hơn là hợp lý.
2. Cách giải thích cuối phim chưa ổn
Nhân vật bán cả đồ thờ – thứ kiêng kỵ – nhưng vẫn được “giải bày” như đúng.
Anh em phản bội nhau tới hai lần, thiếu chiều sâu lý giải.
Đi bán hàng mà không có kiến thức, thiếu kỹ năng đến mức gây nguy hiểm 
Thái độ hỗn với ba, đi chơi gái, đánh bài dẫn đến bị lừa, gây nợ nhưng lại được biện minh bằng lỗi người khác – phần này còn gây tranh cãi nhiều.
Không ai lén mở cốp để lấy trộm lòng diên hương. Tất cả lại lao vào đánh nhau, xong còn thêm mấy cảnh slow-motion kéo dài nhìn rất “trưng trổ” hơn là hợp lý.
3. Tính cách người dân quá “ba phải”
Một số nhân vật phụ thay đổi thái độ quá nhanh, chưa thuyết phục.
4. Nhiều cảnh slow-motion thừa
Làm chậm nhịp phim, khiến mạch hành động đôi lúc bị kéo dài không cần thiết.
* Kết luận: 
Nếu bạn chỉ cần một bộ phim đậm chất giải trí, xem cho vui, không soi logic nhiều thì Truy Tìm Long Diên Hương vẫn là lựa chọn ổn nhờ phần hình ảnh đẹp và các pha hành động mãn nhãn. So với những phim nông cạn như Cù lao xác sống hay cởi thường khán giả như phim của Thùy Tiên đóng dùng công nghệ AI thì phim này còn tốt chán. 
Nhưng nếu bạn là người quan tâm tính hợp lý và chiều sâu, thì phim này sẽ còn nhiều điểm khiến bạn “cấn”."
Truy Tìm Long Diên Hương,pvan vu,10,phim quá chài hay á
Truy Tìm Long Diên Hương,Phạm Quang Điệp,10,Phim đáng xem
Truy Tìm Long Diên Hương,Huỳnh Minh Tuấn,10,ko có j bàn
Truy Tìm Long Diên Hương,Trần Chu Ni,10,Phim hay cực
Truy Tìm Long Diên Hương,Nguyễn Thị Thanh Thảo,10,"Phim hay, hài, đáng xem, hayy, diễn viên diễn hay, phim màu đẹp, hài, cười điên
10 saoo"
Truy Tìm Long Diên Hương,Nguyễn Đình Nhựt,1,"Phim hay, hành động đẹp mắt, nhân văn kèm theo nhiều tình tiết hài hước, đáng xem!"
Truy Tìm Long Diên Hương,Nguyễn Đặng Thị Diễm Phúc,9,"Phim hay, hài, kịch tính, rất thích cảnh cuối lễ hội nghinh ông trên biển đẹp"
Truy Tìm Long Diên Hương,Phạm Phương Ngân,10,Hay cả rạp đều cười nên xem để không bỏ lỡ
Truy Tìm Long Diên Hương,Trang Uyên Nhi,10,Hay lắmmmm
Truy Tìm Long Diên Hương,Bùi Kỳ Anh,9,Mình chưa ưng đoạn kết của phim lắm. Nhưng phần đầu đến hết giữa phim thì hay.
Truy Tìm Long Diên Hương,hân nguyen,8,Phim hay vui nhộn
Truy Tìm Long Diên Hương,Nguyễn Kim Yến,10,"Phim hay, kịch tính, hành động mãn nhãn"
Truy Tìm Long Diên Hương,Trương Phú Thịnh,10,"Hay, vui. Thư giãn"
Truy Tìm Long Diên Hương,Nguyễn Thành Đạt,10,"Rất hay , cười nội thuong luôn . Ai diễn cũng đinh . Mê 3 lùi nha. Phim nên xem , võ thuật ok"
Truy Tìm Long Diên Hương,Thichxemphim2015,8,Tạm được 8/10
Truy Tìm Long Diên Hương,Phan Anh Đức,6,"Nội dung tạm được, lời thoại đôi chỗ còn chưa thực tế. Các cảnh hành động lồng tiếng động hơi lớn, nhìn chung xem giải trí vẫn ổn."
Truy Tìm Long Diên Hương,Maibe2306,10,Hài cười muốn nội thương 😆
Truy Tìm Long Diên Hương,vũ đình hải,10,"đáng xem, hay, cười mệt"
Truy Tìm Long Diên Hương,Thuý,8,"Phim tiết tấu nhanh,hành động-hài hước,dễ hiểu,nói chung đáng xem"
Truy Tìm Long Diên Hương,Nguyễn Trần Thu Ngân,10,"Phim hay xỉu,cười banh rạp...nên đi coi để ủng hộ phim võ thuật nước nhà"
Truy Tìm Long Diên Hương,Trương thị thuỳ anh,9,"Phim vui hay, thích quá chài"
Truy Tìm Long Diên Hương,Nguyễn Thanh Hiệp,8,"Rất tuyệt vời, mọi người đi coi đi"
Truy Tìm Long Diên Hương,Lan Chi,10,"Hấp dẫn và lôi cuốn. Phim truyện có ý nghĩa. Dẫu biết rằng đây là giới giang hồ nên ngôn ngữ khác người bình thường, nhưng đôi khi 1 số ngôn từ sử dụng chưa đẹp."
Truy Tìm Long Diên Hương,Vương Quốc Anh,10,"phim thật sự rất là hay, k có điểm nào để chê cả"
Truy Tìm Long Diên Hương,Tường Vi,10,cười điênnnn
Truy Tìm Long Diên Hương,Nguyễn Hoàng Thuý Phượng,8,phim hành động hài cũm hayyy
Truy Tìm Long Diên Hương,linhhuynh0257,8,"Lâu lâu coi được quả phim Việt hài đáng tiền nha. Hài duyên chứ không nhảm chút nào. Phim này có cái vibe tếu tếu, bựa bựa kiểu phim Thành Long hồi xưa, có chút giống Châu Tinh Trì nữa. Nhưng cũng nhiều cái đậm nét Việt. Ông đóng vai Hoàng là tếu nhất."
Truy Tìm Long Diên Hương,CHU ĐINH TUYỀN,9,Hay ở rạp ạ
Truy Tìm Long Diên Hương,miduynph,9,"Phim hài hành động đúng nghĩa của Việt Nam chứ không phải hài nhảm nhí ồn ào hay đánh đấm cho có. Hài tình huống duyên dáng, khớp vs diễn biến và tính cách của từng nhân vật. Hành động mãn nhãn, trông đau thật nhưng cũng có sự phóng đại khá đẹp mắt.
Dàn diễn viên từ team Action C đến màn đối đâu lần đầu giữa Quang Tuấn và Doãn Quốc Đam đều quá hợp vai và cháy khét cả về hài lẫn hành động. 
Nội dung phim thì đơn giản, quen thuộc, dễ đoán nhưng vẫn tròn trịa và đủ để làm nền nâng đỡ những yếu tố trên tỏa sáng."
Truy Tìm Long Diên Hương,anan681,9,"Phim giải trí xỉu, mà action c làm hài duyên quá hỏng có bị nhảm á"
Truy Tìm Long Diên Hương,Ivy_Trat,8,"Chưa bao giờ tưởng tượng được phim hài Việt sẽ thoát được cái mác hài nhảm, cho đến khi xem Truy Tìm Long Diên Hương.

Phim Việt có chút Hồng Kong. Plot giải trí. Cười muốn nội thương nhưng không có gì nhảm. Hài mượt, hài duyên. Hành động thì khỏi bàn. Diễn xuất nhập tâm. Chất lượng phim Ok vô cùng dù  thông điệp quen thuộc và dễ đoán.

Là phim giải trí và thương mại nhưng chất lượng không phải bàn. Phim giải trí không cần làm gì lớn lao, nhưng phải làm chỉn chu, xem phải đã như vầy nè. Nói chung là đáng tiền đáng thời gian. Nên xem, nên xem :)))"
Truy Tìm Long Diên Hương,tramnquynh,10,"Lâu rồi mới xem một phim hành động hay mà cuốn như vậy, oke lắm nhaaa"
