id,movie_title,review_text,rating
13,Avatar 3: Lửa Và Tro Tàn,Mình sẽ đi xem lại lần 2.....,10
14,Avatar 3: Lửa Và Tro Tàn,Phim không hay gì cả =)),9
15,Avatar 3: Lửa Và Tro Tàn,"Âm thanh tốt a, không khí mát. Nhân viên rất chu đáo.",9
16,Nhà Hai Chủ,"Đã Xem - Đánh giá 1* .. Phim khá xàm , so sánh với phim youtube có khi còn dở hơn phim Youtube 🥴",1
17,Nhà Hai Chủ,"Bỏ ra hơn 150k tiền vé bắp nước đổi lại chẳng được gì
Khúc đầu thì coi cũng được được.... khúc sau không hiểu phim nói về vấn đề gì luôn và cái ý nghĩa nói ra sao??...... nó xàm dỡ tệ thì thôi luôn",1
18,Nhà Hai Chủ,phim ko hay,1
19,Nhà Hai Chủ,phim xàm dở thà coi phim ở nhà ngon hơn,5
20,Zootopia: Phi Vụ Động Trời 2,"phim siu hay ạ, mê nhất love u partner;)))",10
21,Zootopia: Phi Vụ Động Trời 2,"Dễ thương, hay, gay cấn",10
22,Zootopia: Phi Vụ Động Trời 2,Phim hay lắmm,10
23,Zootopia: Phi Vụ Động Trời 2,"Cũng oke á, mà kết này thấy cũng tròn r hehe",9
24,Zootopia: Phi Vụ Động Trời 2,"Hay , kết mở",8
25,Zootopia: Phi Vụ Động Trời 2,Hay lắm luôn á tr,10
26,Zootopia: Phi Vụ Động Trời 2,Vân bảo hay,9
27,Zootopia: Phi Vụ Động Trời 2,"Bộ phim rất hay và ý nghĩa, còn lại các phục vụ của Rạp Cinemar Đông Hà thì thiếu chuyên nghiệp.",10
28,Zootopia: Phi Vụ Động Trời 2,Phim hay ý nghĩ và vui. Đúng đặc điểm với các loài động vật,10
29,Zootopia: Phi Vụ Động Trời 2,ok hayyyy lắm djiazjsj,10
30,Zootopia: Phi Vụ Động Trời 2,"Trời ơi, phim siêu hay, hài hước, anh cáo và cô cộng sự đáng yêu vô cùng",10
31,Zootopia: Phi Vụ Động Trời 2,Hài. Hay. Vui,10
32,Zootopia: Phi Vụ Động Trời 2,Phim khá hay!,10
33,Zootopia: Phi Vụ Động Trời 2,"Bộ phim hài hước, xen lẫn những pha rượt bắt hồi hộp, gay cấn, nội dung đề cao chính nghĩa, cái đúng. Tổng quan xem được.",8
34,Zootopia: Phi Vụ Động Trời 2,"phim hay , nma bạn bên cạnh kh cho thơm má",9
35,Zootopia: Phi Vụ Động Trời 2,"Phim rất hay. Nhiều yếu tố hài hước hơn phần 1, chemistry giữa 2 nhân vật chính cũng nhiều hơn",10
36,Zootopia: Phi Vụ Động Trời 2,Phim có nhiều joke động vật khá thú vị,9
37,Zootopia: Phi Vụ Động Trời 2,"Hay,rất đáng xem",10
38,Zootopia: Phi Vụ Động Trời 2,"phim siêu hayy, tiếng nghe đã tai lắm thỉnh thoảng hơi to hơi giật mình tị thoi, giá rẻ mà chất lượng vượt xa, nick và judy mãi keooooo 🫶🫶🫶🫶🫶 vô cùng rcm",10
39,Zootopia: Phi Vụ Động Trời 2,"Phim cực hài, cực đáng yêu luônnnn😆🥰",9
40,Zootopia: Phi Vụ Động Trời 2,"10 điểm nha, hay, hài,hấp dẫn yêu Judy và Nick",10
41,Zootopia: Phi Vụ Động Trời 2,Cặp cộng sự thỏ & chó lông cam siu peak luôn,10
42,Kumanthong Nhật Bản: Vong Nhi Cúp Bế,"Cái kết chưa rõ không biết phải còn phần 2 không 
Theo mình thì chỉ xoay quanh 1 con búp bê làm từ xương của 1 đứa bé nặn nên và ám theo gdd ddos , cần tình thương , nhưng đoạn kết lại là đứa bé đó rất hận mẹ nó nên có thể là phần 2 gây gấn hơn nếu có , cũng nên xem nha , hy vọng có phần 2",8
43,Kumanthong Nhật Bản: Vong Nhi Cúp Bế,phim hay tâm lý,10
44,Em Sẽ Khử Anh,"I mean duh... phim flop 

Nhưng thật sự phim mang lại 1 trải nghiệm hết sức độc đáo khi lôi khán giả cuốn vào 1 cuộc tình ""hóa điên"" của đôi vợ chồng khi vợ bị trầm cảm sau sinh, dù nhịp chậm và có thể khó hiểu nhưng bộ phim thật sự giống như 1 bộ xếp hình, để khán giả phải xếp từ đầu đến cuối mới hiểu hết được bộ phim hihi. Nói chung là đáng xem á, siêu đỉnh ạ.",9
45,Avatar 3: Lửa Và Tro Tàn,"Kĩ xảo tuyệt đẹp, diễn xuất tuyệt vời",10
46,Avatar 3: Lửa Và Tro Tàn,Hay nha mặc dù mình chưa xem phần 1 với 2,10
47,Thai Chiêu Tài,Dở đến đau lòng,4
48,Thai Chiêu Tài,"Danh nghĩa của người vừa xem tối qua thì khuyên thật mọi người để tiền đi ăn còn xứng đáng hơn,phim rất lãng chiếu đi chiếu lại 1cảnh quay 2 3lần coi rất mất thời gian,phim rất vô duyên và rất nhìu cảnh nhạy cảm!",1
49,Trái Tim Què Quặt,"Bị bất ngờ vì đã đánh giá thấp phim qua poster, trong khi phim có nội dung logic và cuốn, dù không phải phim đại chúng nhưng đây cũng sẽ là 1 sự lựa chọn không tệ (chống chỉ định cho các cặp đôi đang cãi nhau)",7
50,Quái Thú Vô Hình: Vùng Đất Chết Chóc,"Nửa phim đầu xem dài lê thê hơi mệt nửa sau ổn hơn, xem được. Nhưng so với những phần từ thời xưa vừa hay vừa sợ vừa ấn tượng thì lần này không còn cảm giác như vậy. Đánh giá chung là tạm.",7
51,Núi Tế Vong,"Hấp dẫn , lý kì , ám ảnh",9
52,Sư Thầy Gặp Sư Lầy,"cũng được, ko vui như review, cốt truyện bình thường",7
53,Truy Tìm Long Diên Hương,Tuyệt vời. 10 điểm cả về kịch bản lẫn hành động. Không có gì để chê.,10
54,Truy Tìm Long Diên Hương,Phim hay ạ,9
55,Truy Tìm Long Diên Hương,"Phim xem được, thuần giải trí, xem xong thấy thoải mái, xả stress",8
56,Truy Tìm Long Diên Hương,Phim hạnh động của Action C thì còn gì bằng,10
57,Truy Tìm Long Diên Hương,"Phim hay , vui , câu chuyện nhẹ nhàng dễ thương",10
58,Truy Tìm Long Diên Hương,"Cảnh hành động thì cũng tạm ổn. Nhưng mà cốt truyện của phim quá mờ nhạt, diễn biến quá đơn giản dễ dàng đoán trước được, ko có gì bất ngờ, bộ phim theo kiểu ""hào quang nhân vật chính"" nhân vật Tâm đc buff quá mạnh tay. Nên đầu tư 1 cốt truyện hay hơn.",7
59,Truy Tìm Long Diên Hương,"Hay nha. , cười bể bụng , nên xem nha",10
60,Truy Tìm Long Diên Hương,"Hấp dẫn, Vui nhộn, căng thẳng",9
61,Truy Tìm Long Diên Hương,Nên coi nha mn hài lắm,10
62,Truy Tìm Long Diên Hương,Hay lắm rất rất rất đáng xem,10
63,Truy Tìm Long Diên Hương,"Phim hay lắm. Phim Hành động nhìn rất mượt, các cảnh võ thuật rất hay. Và cũng nhiều phiên đoạn hài lắm",10
64,Truy Tìm Long Diên Hương,"Fantastic 
Wonderful
Significant
Magnificent 
Outstanding 
Clash of titan
This is world class !!!",10
65,Truy Tìm Long Diên Hương,phim coi zui,10
66,Truy Tìm Long Diên Hương,Phim rất hay,10
67,Truy Tìm Long Diên Hương,"Phim ý nghĩa, hài hước cả rạp cười muốn xỉu :)))))",10
68,Truy Tìm Long Diên Hương,quá hay phim 10₫ lần đầu coi phim mà k bấm dt,10
69,Truy Tìm Long Diên Hương,"Mình thấy rất xứng đáng khi đi xem một bộ phim hành động lẫn hài mãn nhãn. Đối với cá nhân mình thì nội dung tạm ổn, chủ yếu mình đánh giá cao hành động chân thật, yếu tố hài đời thường ko nhảm. Mn nên mua vé vào rạp xem nhé, lần đầu tiên mình đánh giá phim ngay sau khi xem",10
70,Truy Tìm Long Diên Hương,"Hay , dễ xem",8
71,Truy Tìm Long Diên Hương,"⭐ Đánh giá phim Truy Tìm Long Diên Hương
* Về mặt hình ảnh
1. Đầu tư tốt về hình ảnh
Phim có nhiều khung hình được xử lý đẹp, màu sắc chỉnh chu, góc quay đa dạng cho thấy ê-kíp đã đầu tư khá nghiêm túc ở phần visual.
2. Tôn vinh đội ngũ diễn viên đóng thế
Các cảnh hành động được thực hiện tốt và giúp những cascadeur – vốn ít được khán giả biết đến – có nhiều đất để thể hiện hơn.
* Về mặt nội dung
1. Nhiều tình tiết thiếu hợp lý
Một số chi tiết không sát với thực tế, gây cảm giác “phi logic”, ví dụ:
Nhân vật bị lừa tới hai lần dù cùng kiểu tình huống.
Xe bị cháy nhưng thay vì xử lý bằng cách đổ cát vào nhà/xe thì thằng em nhà ở vào lửa.
Bản thân bị cháy nhưng ko ngã vào cát để lăn, dẫn đến cảm giác chưa hợp lý về cách hợp lí.
Dùng thanh chắn để làm xe ngã cũng không quá thuyết phục.
Thằng em vừa rất ngu vừa còn ko nhận ra lỗi mình, kêu anh mình thiên vị ng ngoài, bán đồ gì đâu vào tận huyệt của ng ta để mà trả giá. 
Có ai đi đánh nhau biết rõ bên kia có dao với gậy mà xách cái thân ko. Gặp giang hồ còn đứng đó nói đạo lý.
Không ai lén mở cốp để lấy trộm lòng diên hương ở trong xe. Tất cả lại lao vào đánh nhau, xong còn thêm mấy cảnh slow-motion kéo dài nhìn rất “trưng trổ” hơn là hợp lý.
2. Cách giải thích cuối phim chưa ổn
Nhân vật bán cả đồ thờ – thứ kiêng kỵ – nhưng vẫn được “giải bày” như đúng.
Anh em phản bội nhau tới hai lần, thiếu chiều sâu lý giải.
Đi bán hàng mà không có kiến thức, thiếu kỹ năng đến mức gây nguy hiểm 
Thái độ hỗn với ba, đi chơi gái, đánh bài dẫn đến bị lừa, gây nợ nhưng lại được biện minh bằng lỗi người khác – phần này còn gây tranh cãi nhiều.
Không ai lén mở cốp để lấy trộm lòng diên hương. Tất cả lại lao vào đánh nhau, xong còn thêm mấy cảnh slow-motion kéo dài nhìn rất “trưng trổ” hơn là hợp lý.
3. Tính cách người dân quá “ba phải”
Một số nhân vật phụ thay đổi thái độ quá nhanh, chưa thuyết phục.
4. Nhiều cảnh slow-motion thừa
Làm chậm nhịp phim, khiến mạch hành động đôi lúc bị kéo dài không cần thiết.
* Kết luận: 
Nếu bạn chỉ cần một bộ phim đậm chất giải trí, xem cho vui, không soi logic nhiều thì Truy Tìm Long Diên Hương vẫn là lựa chọn ổn nhờ phần hình ảnh đẹp và các pha hành động mãn nhãn. So với những phim nông cạn như Cù lao xác sống hay cởi thường khán giả như phim của Thùy Tiên đóng dùng công nghệ AI thì phim này còn tốt chán. 
Nhưng nếu bạn là người quan tâm tính hợp lý và chiều sâu, thì phim này sẽ còn nhiều điểm khiến bạn “cấn”.",5
72,Truy Tìm Long Diên Hương,phim quá chài hay á,10
73,Truy Tìm Long Diên Hương,Phim đáng xem,10
74,Truy Tìm Long Diên Hương,ko có j bàn,10
75,Truy Tìm Long Diên Hương,Phim hay cực,10
76,Truy Tìm Long Diên Hương,"Phim hay, hài, đáng xem, hayy, diễn viên diễn hay, phim màu đẹp, hài, cười điên
10 saoo",10
77,Truy Tìm Long Diên Hương,"Phim hay, hành động đẹp mắt, nhân văn kèm theo nhiều tình tiết hài hước, đáng xem!",1
78,Truy Tìm Long Diên Hương,"Phim hay, hài, kịch tính, rất thích cảnh cuối lễ hội nghinh ông trên biển đẹp",9
79,Truy Tìm Long Diên Hương,Hay cả rạp đều cười nên xem để không bỏ lỡ,10
80,Truy Tìm Long Diên Hương,Hay lắmmmm,10
81,Truy Tìm Long Diên Hương,Mình chưa ưng đoạn kết của phim lắm. Nhưng phần đầu đến hết giữa phim thì hay.,9
82,Truy Tìm Long Diên Hương,Phim hay vui nhộn,8
83,Truy Tìm Long Diên Hương,"Phim hay, kịch tính, hành động mãn nhãn",10
84,Truy Tìm Long Diên Hương,"Hay, vui. Thư giãn",10
85,Truy Tìm Long Diên Hương,"Rất hay , cười nội thuong luôn . Ai diễn cũng đinh . Mê 3 lùi nha. Phim nên xem , võ thuật ok",10
86,Truy Tìm Long Diên Hương,Tạm được 8/10,8
87,Truy Tìm Long Diên Hương,"Nội dung tạm được, lời thoại đôi chỗ còn chưa thực tế. Các cảnh hành động lồng tiếng động hơi lớn, nhìn chung xem giải trí vẫn ổn.",6
88,Truy Tìm Long Diên Hương,Hài cười muốn nội thương 😆,10
89,Truy Tìm Long Diên Hương,"đáng xem, hay, cười mệt",10
90,Truy Tìm Long Diên Hương,"Phim tiết tấu nhanh,hành động-hài hước,dễ hiểu,nói chung đáng xem",8
91,Truy Tìm Long Diên Hương,"Phim hay xỉu,cười banh rạp...nên đi coi để ủng hộ phim võ thuật nước nhà",10
92,Truy Tìm Long Diên Hương,"Phim vui hay, thích quá chài",9
93,Truy Tìm Long Diên Hương,"Rất tuyệt vời, mọi người đi coi đi",8
94,Truy Tìm Long Diên Hương,"Hấp dẫn và lôi cuốn. Phim truyện có ý nghĩa. Dẫu biết rằng đây là giới giang hồ nên ngôn ngữ khác người bình thường, nhưng đôi khi 1 số ngôn từ sử dụng chưa đẹp.",10
95,Truy Tìm Long Diên Hương,"phim thật sự rất là hay, k có điểm nào để chê cả",10
96,Truy Tìm Long Diên Hương,cười điênnnn,10
97,Truy Tìm Long Diên Hương,phim hành động hài cũm hayyy,8
98,Truy Tìm Long Diên Hương,"Lâu lâu coi được quả phim Việt hài đáng tiền nha. Hài duyên chứ không nhảm chút nào. Phim này có cái vibe tếu tếu, bựa bựa kiểu phim Thành Long hồi xưa, có chút giống Châu Tinh Trì nữa. Nhưng cũng nhiều cái đậm nét Việt. Ông đóng vai Hoàng là tếu nhất.",8
99,Truy Tìm Long Diên Hương,Hay ở rạp ạ,9
100,Truy Tìm Long Diên Hương,"Phim hài hành động đúng nghĩa của Việt Nam chứ không phải hài nhảm nhí ồn ào hay đánh đấm cho có. Hài tình huống duyên dáng, khớp vs diễn biến và tính cách của từng nhân vật. Hành động mãn nhãn, trông đau thật nhưng cũng có sự phóng đại khá đẹp mắt.
Dàn diễn viên từ team Action C đến màn đối đâu lần đầu giữa Quang Tuấn và Doãn Quốc Đam đều quá hợp vai và cháy khét cả về hài lẫn hành động. 
Nội dung phim thì đơn giản, quen thuộc, dễ đoán nhưng vẫn tròn trịa và đủ để làm nền nâng đỡ những yếu tố trên tỏa sáng.",9
101,Truy Tìm Long Diên Hương,"Phim giải trí xỉu, mà action c làm hài duyên quá hỏng có bị nhảm á",9
102,Truy Tìm Long Diên Hương,"Chưa bao giờ tưởng tượng được phim hài Việt sẽ thoát được cái mác hài nhảm, cho đến khi xem Truy Tìm Long Diên Hương.

Phim Việt có chút Hồng Kong. Plot giải trí. Cười muốn nội thương nhưng không có gì nhảm. Hài mượt, hài duyên. Hành động thì khỏi bàn. Diễn xuất nhập tâm. Chất lượng phim Ok vô cùng dù  thông điệp quen thuộc và dễ đoán.

Là phim giải trí và thương mại nhưng chất lượng không phải bàn. Phim giải trí không cần làm gì lớn lao, nhưng phải làm chỉn chu, xem phải đã như vầy nè. Nói chung là đáng tiền đáng thời gian. Nên xem, nên xem :)))",8
103,Truy Tìm Long Diên Hương,"Lâu rồi mới xem một phim hành động hay mà cuốn như vậy, oke lắm nhaaa",10
104,Truy Tìm Long Diên Hương,Phim hay tuyệt đối ạaaa,10
105,Truy Tìm Long Diên Hương,Phim hay !!,10
106,Truy Tìm Long Diên Hương,Hay. Đánh quá đã,10
107,Truy Tìm Long Diên Hương,Rất hay . Phim Việt lên tầm cao mới,10
108,Truy Tìm Long Diên Hương,rạp nên phổ biến về ý thức cho giới trẻ khi đi xem phim. Còn phim tuyẹt vời,8
109,Truy Tìm Long Diên Hương,rất hay và đáng xem ạ,10
110,Truy Tìm Long Diên Hương,Phim rất hay.,10
111,Truy Tìm Long Diên Hương,"Quá hay, hài, hành động siêu cuốn",10
112,Truy Tìm Long Diên Hương,Phim có action C là phải hay,10
113,Cưới Vợ Cho Cha,"Đối với quan điểm cá nhân, mới đầu phim sẽ là một cảnh rất bình dị ở miền Tây và câu chuyện hằng ngày diễn ra ở nơi này dẫn đến là khán giả sẽ cần sự kiên nhẫn để chờ tiếp những phần tiếp là gì. Ngoài ra, mình thấy phim còn cho khán giả thấy là đừng đánh giá người khác qua lời đồn hay tai tiếng từ truyền thông mà hãy suy xét sâu hơn để thấy được mỗi hoàn cảnh đều có lý do riêng. Và đều quan trọng là khi chúng ta là gia đình, chúng ta cần chia sẻ để thấu hiểu đối phương hơn, có những chuyện khó và dẫn đến không thể chấp nhận nhưng mà đặt mình vào góc nhìn của họ mới thấy sự đồng cảm của chúng ta dành cho đối phương rất nhiều và vô cùng sâu sắc. Phim cũng có chút cảm động ở khúc cuối và phim bắt được tâm lý của mình và phút chót mình đã xúc động về tình cảm gia đình.",8
114,Cưới Vợ Cho Cha,Phim tình cảm. Nhẹ nhàng. Có chút hài hước. Kết thúc đẹp làm mình có cảm giác dễ chịu.,10
115,Cưới Vợ Cho Cha,Bộ phim hay và cảm động về tình thương của cha dành cho con của mình. Tình làng nghĩa xóm và sự chịu đựng của người phụ nữ dưới sự sắp xếp của cha mẹ❤️❤️❤️❤️,8
116,Cưới Vợ Cho Cha,"Phim hay, dễ thương, vui và chứa đựng nhiều cảm xúc lắm. Mong rạp hãy mở thêm nhiều suất chiếu ạ huhu ❤️.",10
117,Cưới Vợ Cho Cha,Quá tuyệt vời,10
118,Wicked 2: For Good,"ko hấp dẫn bằng phần 1, nếu ai chưa xem p1 mà xem luôn phần 2 sẽ thấy ko hay lắm. Còn do mình xem phần 1 hay quá rồi nên tất nhiên p2 ra rạp là đi xem luôn.",7
119,Wicked 2: For Good,"Lâu lắm rồi không được khóc trong rạp, thề luôn nhạc đã hay xong kết cũng khép lại 1 chương chuyện 1 cách hấp dẫn, nói chung là hợp mình ahihi. Tuy nhiên phim có cảnh hôn (kiểu đá lưỡi) với cảnh ngủ chung và lộ nên ba mẹ cân nhắc cho các bé đi nhé hic",10
120,Anh Trai Say Xe,ổn nha mn ơi,9
121,Anh Trai Say Xe,"Quá hay, cha eun woo quá đẹp trai",10
122,Phòng Trọ Ma Bầu,Ok nhưng còn thiếu sót,8
123,Phòng Trọ Ma Bầu,Phim tốt ạ,7
124,Phòng Trọ Ma Bầu,Fim hay giải trí vừa có yếu tố hài hước pha 1 chút kinh dị kèm theo đó là sự cảm động đối với nạn phá thai hiện nay,10
125,Phòng Trọ Ma Bầu,Fim hay nha mn vừa hài vừa cảm động coi giải trí lắm nay mik đi ở CGV cinemas Biên Hoà còn gặp đc dàn ê-kíp nx ạ,10
126,Phòng Trọ Ma Bầu,"Đoạn đầu thì hay, về sau cuối rất nhảm, phim lạc đề và không liên quan, nói thật nhảm cực như cắn đá viết phim vậy",1
127,Phòng Trọ Ma Bầu,đồ hoạ như thời 90 nội dung xàm k chịu được,1
128,Phi Vụ Thế Kỷ: Thoắt Ẩn Thoắt Hiện,Tuyệt vời và mang ý nghĩa giáo dục hay.,10
129,Quán Kỳ Nam,Phim hay ! Rất hợp gu kiểu hoài cổ. Nam xinh nữ tú đầy đủ. không quá khó xem như tưởng tượng. Vì là phim Việt nên cho 10/10 :3,10
130,Quán Kỳ Nam,"Một trải nghiệm đầy sâu lắng và nhẹ nhàng, pha chút bồi hồi khi được sống trong Sài Gòn những năm 80 mà trước giờ chỉ nghe qua lời kể của người lớn. 
Phim hơi kén khán giả nhưng những ai có tình yêu và tìm hiểu về nét văn hoá Sài Gòn xưa chắc chắn sẽ cảm được",10
131,Quán Kỳ Nam,"Bộ phim tình cảm, cảnh quay đẹp. Gợi nhớ lại kí ức thời khó khăn nhưng con người vẫn sống tử tế, lãng mạn",10
132,Quán Kỳ Nam,Một cảm nhận rất chân thực khi được quay lại thập niên 80 và nhìn Sài Gòn xưa tươi đẹp hihi,9
133,Quán Kỳ Nam,"My guuuu, màu phim đẹp điêng, nội dung nhẹ nhàng vừa phải",10
134,Quán Kỳ Nam,Bộ phim rất hay và đáng xem!,10
135,Quán Kỳ Nam,Bộ phim đưa tôi về thời tuổi thơ của mình rất sống động,7
136,Quán Kỳ Nam,"Mạch phim nhẹ nhàng, tâm lý tình cảm, rất cuốn vì từ câu thoại liên kết cao, góc quay xa cận tính toán tỉ mỉ, âm thanh vừa quen thuộc mà cũng hoài niệm trong bối cảnh thời kì Sài Gòn sau chiến tranh. Phim khai thác góc nhìn nhẹ nhàng các vấn đề tại thời điểm đó nhưng mà cũng cần một chút liên hệ, chăm chú. Từng nhân vật được xây dựng hoàn cảnh và tâm lý khá thú vị và chặt chẽ, không chỉ xoay quanh 2 nhân vật chính mà còn tuyến nhân vật phụ.",10
137,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"phim được, người đi xem phim ok",10
138,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"nội dung,âm thanh hay",10
139,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Phim hay , đây là movie mình thấy hay nhất trong tất cả movie , đáng xem nha",10
140,Conan Movie 28: Dư Ảnh Của Độc Nhãn,Xem đến lần thứ 4 quá hay. Không xem đời không nể,10
141,Conan Movie 28: Dư Ảnh Của Độc Nhãn,Tôi rất hài lòng,10
142,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Tốn tiền, phí phạm thời gian, xúc phạm trí tuệ người xem, nến cấm người hớn 9 tuổi xem phim này",1
143,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Mãn nhãn với những pha hành động của Conan, nội dung ở mức được",7
144,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Phim rất hay, hình ảnh và âm thanh cực kì chất lượng, nhưng mà rạp hơi lạnh mọi người lưu ý nhé.",10
145,Conan Movie 28: Dư Ảnh Của Độc Nhãn,movie này hay lắm luôn thích nhất là khổng minh,10
146,Conan Movie 28: Dư Ảnh Của Độc Nhãn,Âm thanh sống động tớ đã bị giật mình bởi mấy tiếng súng trong film. Nhưng công tâm mà nói thì nội dung chưa đủ wow bằng mấy movie trước 😊,9
147,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Tuyệt vời, mãn nhãn.",10
148,Conan Movie 28: Dư Ảnh Của Độc Nhãn,Rất tốt và tôi yêu thích,10
149,Conan Movie 28: Dư Ảnh Của Độc Nhãn,10 đỉm hum có nhưng,10
150,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"rấc là hayyy, đáng để xem thử",9
151,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Phim hay lắm luôn, hôm nay mình đi xem là lần 2 rồi. Vẫn hay, hài hước và kịch tính như xem lần đầu vậy ❤",10
152,Conan Movie 28: Dư Ảnh Của Độc Nhãn,Hay nha! Khổng minh cực đẹp trai luôn:)! Cảnh hành động thì cực gây cấn! Điểm trừ duy nhất là mẹ mình đã ngủ:( (hình như là do ko hiểu phim). Nhưng nói chung là hay và đáng xem,9
153,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Theo tui, tui chỉ thích những suy luận nhìu. Hoac tổ chức áo đen. Phần này k suy luận nhìu. Lồng tiếng vui vẻ. Rõ ràng. Lúc đầu coi hơi rối nhân vật xíu nếu k tập trung. Tuy nghiên về mori xíu nhưng vẫn cần sự suy luận qua mail của sinichi conan. Theo tui tạm được",7
154,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Phòng chiếu phim (rạp Beta) như nhà xát z á. Huhu bạn mình cảm luôn á. Ghế ngồi siêu khó chịu luôn, mình không biết là có chổ chinbr kjoong nhưng mà mình ngồi ghế nó thẳng tưng làm mình đau cổ lắm luôn. Còn phim thì quá oke , phim siu hay.",4
155,Conan Movie 28: Dư Ảnh Của Độc Nhãn,conan mãi đỉnh trong lòng mình. Phân đoạn nào của bác Mori trong phim cũng ngầu nhưng tiếc là quá ít🥲,10
156,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"tốt, kịch bản vắt sữa nên xem cảm thấy giống các movie trước",9
157,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Phim sinh động , hấp dẫn, cuống hút người xem",10
158,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"Trời ơi phim hay vãiiii íiiiii, có lẽ sẽ đi cày lại á, phim đủ wow lắm luôn, ae nên xem nháaaaa",10
159,Conan Movie 28: Dư Ảnh Của Độc Nhãn,phim hay vcl tôi đã thsu bị giật mình ở phát súng đầu tiên,10
160,Conan Movie 28: Dư Ảnh Của Độc Nhãn,LOA TO LÀM TUI HƠI BỊ GIẬT MIK NHƯNG MỘT LÚC SAU THÌ QUEN RÙI,10
161,Conan Movie 28: Dư Ảnh Của Độc Nhãn,Máy chiếu bị mờ,10
162,Conan Movie 28: Dư Ảnh Của Độc Nhãn,Phim quá hay có thể nói là movie hay nhất trong 28 movie tôi đã từng xem,10
163,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"trời ơi quá tuyệt vời luôn ấyyyyyy, nhạc phim hay nữa ạ, nói chung e thấy 10/10✨✨✨",10
164,Conan Movie 28: Dư Ảnh Của Độc Nhãn,"nội dung nhạt nhoà dễ đoán, tuyến nhân vật lộn xộn",6
